C23456790_Lote1000,00000002,000011110000,110220,001,010000,000000010000,Visa                     ,20200930,190025,000000010000,000000,ARG
C23456790_Lote1000,00000003,000011110001,101574,001,010000,000000010000,Visa                     ,20200930,190138,000000010000,000000,ARG
C23456790_Lote1000,00000004,000011110002,101576,001,010000,000000010000,Visa                     ,20200930,190223,000000010000,000000,ARG
C23456790_Lote1000,00000005,000011110003,101577,001,010000,000000010000,Visa                     ,20200930,190227,000000010000,000000,ARG
C23456790_Lote1000,00000006,000011110004,101163,001,010000,000000010000,Visa                     ,20200930,190348,000000010000,000000,ARG
C23456790_Lote1000,00000007,000011110005,101142,001,010000,000000010000,Visa                     ,20200930,190431,000000010000,000000,ARG
C23456790_Lote1000,00000008,000011110006,101169,001,010000,000000010000,Visa                     ,20200930,190442,000000010000,000000,ARG
C23456790_Lote1000,00000009,000011110007,101133,001,010000,000000010000,Visa                     ,20200930,190503,000000010000,000000,ARG
C23456790_Lote1000,00000010,000011110008,101146,001,010000,000000010000,Visa                     ,20200930,190617,000000010000,000000,ARG
C23456790_Lote1000,00000011,000011110009,101115,001,010000,000000010000,Visa                     ,20200930,190716,000000010000,000000,ARG
