TFH,00000001,23456790,1100,20201015,180000,15
TFD,00000002,001015180107,000000,006,670066,9256,2508,20201015,172824,000000590451,111111,ARG,2034
TFD,00000003,001015180117,000000,006,670068,8181,2409,20201015,172845,000000925350,111111,ARG,2035
TFD,00000004,001015180121,000000,006,670067,3081,2411,20201015,172845,000000985550,111111,ARG,2036
TFD,00000005,001015180132,000000,006,670067,1013,2301,20201015,172845,000000585697,111111,ARG,2037
TFD,00000006,001015180107,101518,006,670066,9256,2508,20201015,172845,000000590451,000000,ARG,2038
TFD,00000007,001015180141,101552,003,313081,1040,2305,20201015,173439,000000946284,000000,ARG,2039
TFD,00000008,001015180139,101550,002,514798,1034,2303,20201015,173524,000000679027,000000,ARG,2040
TFD,00000009,001015180136,101547,001,497988,1025,2305,20201015,173718,000000410038,000000,ARG,2041
TFD,00000010,001015180133,101544,002,535074,1016,2302,20201015,173723,000000590451,000000,ARG,2042
TFD,00000011,001015180132,101543,006,670067,1013,2301,20201015,173728,000000585697,000000,ARG,2043
TFD,00000012,001015180121,101532,006,670067,3081,2411,20201015,174601,000000985550,000000,ARG,2049
TFD,00000013,001015180120,101531,004,326197,2350,2410,20201015,174705,000000910300,000000,ARG,2050
TFD,00000014,001015180119,101530,001,436440,7776,2410,20201015,174825,000000955450,000000,ARG,2051
TFD,00000015,001015180118,101529,004,370110,0649,2409,20201015,174904,000000940400,000000,ARG,2052
TFD,00000016,001015180117,101528,006,670068,8181,2409,20201015,174904,000000925350,000000,ARG,2053
